hospital_id,department,medicine_id,stock_quantity,last_updated
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,cd82fa7f-f8bc-40ec-befd-d29846899546,65,2025-11-25 21:10:07.736854+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,27ec7f6c-b922-4165-8e17-16b51f180374,176,2025-11-25 21:10:07.738220+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,43ece4e9-c716-4b63-85f5-25f5ca6f8ac5,187,2025-11-25 21:10:07.739433+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,e48a122f-2bc6-4172-9994-60452a9717a1,43,2025-11-25 21:10:07.740504+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,8e88067d-1091-4100-b1ba-7fdeeb79d2e8,90,2025-11-25 21:10:07.741266+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,3517bcff-909b-415f-ac87-ba1f631f3596,129,2025-11-25 21:10:07.741923+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,15192a5f-4e67-4034-8b16-d6501e582dde,200,2025-11-25 21:10:07.742554+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,a41e3028-dbaa-43b4-91f2-0a2bc897efd4,32,2025-11-25 21:10:07.743190+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,1f2e5121-b063-4252-a07c-85aaadd4f1cd,190,2025-11-25 21:10:07.743831+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,c0ef31f9-4980-43ef-9158-de8c70fa9152,43,2025-11-25 21:10:07.744445+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,adcf774c-9ef4-4db1-b42b-6703ba5d9fd1,16,2025-11-25 21:10:07.745185+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,690a6212-d9a3-4c6a-8475-bdb2bb29427c,96,2025-11-25 21:10:07.745908+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,b2288713-a97e-4edc-b552-6812891c7e83,136,2025-11-25 21:10:07.746564+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,764eae95-1a48-4000-832a-82e00b5bbe16,12,2025-11-25 21:10:07.747271+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,4bbc8b04-4909-4ba6-8aa4-b23ee634ab5f,146,2025-11-25 21:10:07.747927+00:00
84f84087-902c-47b0-930b-78a2336ee56b,Emergency,89ec725b-b2d4-4f30-bd18-6b19aad1d345,168,2025-11-25 21:10:07.748549+00:00
